     %   cumulative   self              self     total
    time   seconds   seconds    calls  ms/call  ms/call  name
   10.64     6.04      6.04   200436     0.03     0.24  Sprite#update
    3.25     7.88      1.85   129222     0.01     0.30  Array#each
    2.54     9.32      1.44    36924     0.04     0.55  Sprite_Base#update
    2.44    10.70      1.38    24516     0.06     5.62  Sprite_Battler#update
    2.02    11.85      1.15    79803     0.01     0.03  Enumerable#max
    1.87    12.91      1.06    44295     0.02     0.06  THEO::Circular::Circular_Obj#update_circle
    1.66    13.85      0.94    44295     0.02     0.08  THEO::Circular#update_circle
    1.59    14.75      0.90    44295     0.02     0.03  THEO::Circular::Circular_Obj#rotate?
    1.49    15.60      0.85    25521     0.03     0.04  TSBS::Camera#dist_y
    1.40    16.39      0.80    53538     0.01     0.04  THEO::Movement#update_move
    1.39    17.18      0.79    32667     0.02     0.13  Window#update
    1.35    17.94      0.77    54418     0.01     0.02  THEO::Movement#moving?
    1.32    18.69      0.75       47    15.87    21.23  Marshal#load
    1.10    19.32      0.63     4092     0.15     0.51  Enemy_HP_Gauge_Viewport#update_position
    1.05    19.91      0.60     8172     0.07     1.70  Sprite_BattlerIcon#update
    1.04    20.50      0.59    32942     0.02     0.03  Game_Enemy#screen_y
    1.00    21.07      0.57    34087     0.02     0.02  THEO::FADE#update_fade
    0.99    21.63      0.56      679     0.83     0.83  Graphics#fps_update
    0.93    22.16      0.53    15941     0.03     0.05  TSBS::Camera#dist_x
    0.93    22.69      0.53     4092     0.13     0.22  Sprite_BattlerShadow#update_size
    0.91    23.20      0.51      140     3.67     3.67  Bitmap#theo_bitmap_init
    0.83    23.67      0.47     2772     0.17     0.67  Sprite_BattlerIcon#update_placement
    0.80    24.12      0.45     5448     0.08     0.67  Sprite_Battler#update_position
    0.80    24.57      0.45     8172     0.06     0.87  Sprite_AnimGuard#update
    0.77    25.01      0.44    14613     0.03     0.07  TSBS::Screen_Point#screen_y
    0.71    25.41      0.40     4086     0.10     0.96  Sprite_AnimState#update
    0.69    25.80      0.39    18462     0.02     0.16  Sprite_Base#update_afterimage_effect
    0.66    26.18      0.38     4092     0.09     1.39  Sprite_BattlerShadow#update
    0.66    26.55      0.38     8227     0.05     0.16  Game_Battler#screen_z_formula
    0.64    26.92      0.36    17891     0.02     0.03  Tone#set
    0.63    27.27      0.36    20982     0.02     0.03  Game_Enemy#screen_x
    0.63    27.63      0.36    19218     0.02     0.04  Sprite_Base#update_animation
    0.60    27.97      0.34     2724     0.13     0.31  Sprite_BattlerIcon#update_effects
    0.58    28.30      0.33    68570     0.00     0.00  Fixnum#*
    0.58    28.63      0.33    44295     0.01     0.01  THEO::Circular::Circular_Obj#circle_frozen?
    0.55    28.94      0.31    10905     0.03     0.06  Window_Base#update_tone
    0.55    29.25      0.31    24627     0.01     0.02  Game_Enemy#data_battler
    0.53    29.55      0.30     4092     0.07     0.17  Sprite_AnimGuard#update_position
    0.52    29.85      0.30     6570     0.05     0.13  Game_Party#battle_members
    0.52    30.14      0.30    28362     0.01     0.02  Array#collect
    0.52    30.44      0.29    20310     0.01     0.02  Game_BattlerBase#states
    0.50    30.72      0.28     2694     0.10     0.35  Game_Battler#method_wait
    0.50    31.00      0.28    21823     0.01     0.03  Sprite_BattlerShadow#data_battler
    0.50    31.28      0.28     4092     0.07     0.38  Sprite_BattlerShadow#update_position
    0.49    31.56      0.28     8227     0.03     0.23  Game_Battler#screen_z
    0.47    31.83      0.27     6810     0.04     0.09  Sprite_Battler#update_popups
    0.47    32.09      0.27    33406     0.01     0.01  Sprite#theolized_move_update
    0.47    32.36      0.26     7479     0.04     0.42  Window_Selectable#update
    0.46    32.62      0.26     4086     0.06     0.21  Enemy_HP_Gauge_Viewport#gauge_visible?
    0.45    32.88      0.26     4086     0.06     0.79  Enemy_HP_Gauge_Viewport#update
    0.44    33.13      0.25     6189     0.04     0.12  Window_Selectable#process_handling
    0.44    33.38      0.25    46759     0.01     0.01  Fixnum#<=>
    0.42    33.61      0.24    55064     0.00     0.00  THEO::Movement::Move_Object#moving?
    0.41    33.85      0.23    29122     0.01     0.06  Array#delete_if
    0.41    34.08      0.23    10954     0.02     0.03  Game_Battler#additional_z
